"episode","distinctive-lion-1313 - _step","distinctive-lion-1313 - _step__MIN","distinctive-lion-1313 - _step__MAX","distinctive-lion-1313 - Cost/True trajectory 0","distinctive-lion-1313 - Cost/True trajectory 0__MIN","distinctive-lion-1313 - Cost/True trajectory 0__MAX","twilight-smoke-1314 - _step","twilight-smoke-1314 - _step__MIN","twilight-smoke-1314 - _step__MAX","twilight-smoke-1314 - Cost/True trajectory 0","twilight-smoke-1314 - Cost/True trajectory 0__MIN","twilight-smoke-1314 - Cost/True trajectory 0__MAX","eternal-haze-1311 - _step","eternal-haze-1311 - _step__MIN","eternal-haze-1311 - _step__MAX","eternal-haze-1311 - Cost/True trajectory 0","eternal-haze-1311 - Cost/True trajectory 0__MIN","eternal-haze-1311 - Cost/True trajectory 0__MAX","genial-sound-1312 - _step","genial-sound-1312 - _step__MIN","genial-sound-1312 - _step__MAX","genial-sound-1312 - Cost/True trajectory 0","genial-sound-1312 - Cost/True trajectory 0__MIN","genial-sound-1312 - Cost/True trajectory 0__MAX","winter-silence-1315 - _step","winter-silence-1315 - _step__MIN","winter-silence-1315 - _step__MAX","winter-silence-1315 - Cost/True trajectory 0","winter-silence-1315 - Cost/True trajectory 0__MIN","winter-silence-1315 - Cost/True trajectory 0__MAX","bright-firefly-1304 - _step","bright-firefly-1304 - _step__MIN","bright-firefly-1304 - _step__MAX","bright-firefly-1304 - Cost/True trajectory 0","bright-firefly-1304 - Cost/True trajectory 0__MIN","bright-firefly-1304 - Cost/True trajectory 0__MAX","fragrant-lake-1304 - _step","fragrant-lake-1304 - _step__MIN","fragrant-lake-1304 - _step__MAX","fragrant-lake-1304 - Cost/True trajectory 0","fragrant-lake-1304 - Cost/True trajectory 0__MIN","fragrant-lake-1304 - Cost/True trajectory 0__MAX","restful-morning-1302 - _step","restful-morning-1302 - _step__MIN","restful-morning-1302 - _step__MAX","restful-morning-1302 - Cost/True trajectory 0","restful-morning-1302 - Cost/True trajectory 0__MIN","restful-morning-1302 - Cost/True trajectory 0__MAX","smooth-frog-1306 - _step","smooth-frog-1306 - _step__MIN","smooth-frog-1306 - _step__MAX","smooth-frog-1306 - Cost/True trajectory 0","smooth-frog-1306 - Cost/True trajectory 0__MIN","smooth-frog-1306 - Cost/True trajectory 0__MAX","clean-cherry-1306 - _step","clean-cherry-1306 - _step__MIN","clean-cherry-1306 - _step__MAX","clean-cherry-1306 - Cost/True trajectory 0","clean-cherry-1306 - Cost/True trajectory 0__MIN","clean-cherry-1306 - Cost/True trajectory 0__MAX"
"10","80069","80069","80069","20.21002551181392","20.21002551181392","20.21002551181392","80069","80069","80069","20.222669325256287","20.222669325256287","20.222669325256287","80069","80069","80069","20.226137364560476","20.226137364560476","20.226137364560476","80069","80069","80069","20.211618592560146","20.211618592560146","20.211618592560146","80069","80069","80069","20.24928308298485","20.24928308298485","20.24928308298485","80069","80069","80069","20.25437186906015","20.25437186906015","20.25437186906015","80069","80069","80069","20.253314336129236","20.253314336129236","20.253314336129236","80069","80069","80069","20.22129786501196","20.22129786501196","20.22129786501196","80069","80069","80069","20.251054746771853","20.251054746771853","20.251054746771853","80069","80069","80069","20.226213756259853","20.226213756259853","20.226213756259853"
"11","88076","88076","88076","20.20046674261084","20.20046674261084","20.20046674261084","88076","88076","88076","20.215805022031205","20.215805022031205","20.215805022031205","88076","88076","88076","20.22127547035067","20.22127547035067","20.22127547035067","88076","88076","88076","20.2064948828463","20.2064948828463","20.2064948828463","88076","88076","88076","20.242725794413097","20.242725794413097","20.242725794413097","88076","88076","88076","20.244441101315683","20.244441101315683","20.244441101315683","88076","88076","88076","20.249270707140816","20.249270707140816","20.249270707140816","88076","88076","88076","20.21589301109541","20.21589301109541","20.21589301109541","88076","88076","88076","20.2445453070935","20.2445453070935","20.2445453070935","88076","88076","88076","20.21804049994562","20.21804049994562","20.21804049994562"
"12","96083","96083","96083","20.198047060309307","20.198047060309307","20.198047060309307","96083","96083","96083","20.217110516954715","20.217110516954715","20.217110516954715","96083","96083","96083","20.219373662909693","20.219373662909693","20.219373662909693","96083","96083","96083","20.205720819130686","20.205720819130686","20.205720819130686","96083","96083","96083","20.24071004326459","20.24071004326459","20.24071004326459","96083","96083","96083","20.24462340612503","20.24462340612503","20.24462340612503","96083","96083","96083","20.24663775555443","20.24663775555443","20.24663775555443","96083","96083","96083","20.2154803001644","20.2154803001644","20.2154803001644","96083","96083","96083","20.245420292917697","20.245420292917697","20.245420292917697","96083","96083","96083","20.214615305739933","20.214615305739933","20.214615305739933"
"13","104090","104090","104090","20.20443633606391","20.20443633606391","20.20443633606391","104090","104090","104090","20.21511587496081","20.21511587496081","20.21511587496081","104090","104090","104090","20.217033419323773","20.217033419323773","20.217033419323773","104090","104090","104090","20.2028995763819","20.2028995763819","20.2028995763819","104090","104090","104090","20.23948064034175","20.23948064034175","20.23948064034175","104090","104090","104090","20.2376932016775","20.2376932016775","20.2376932016775","104090","104090","104090","20.244502524123423","20.244502524123423","20.244502524123423","104090","104090","104090","20.211550259433775","20.211550259433775","20.211550259433775","104090","104090","104090","20.241043603972447","20.241043603972447","20.241043603972447","104090","104090","104090","20.211940752717243","20.211940752717243","20.211940752717243"
"14","112097","112097","112097","20.193760714853404","20.193760714853404","20.193760714853404","112097","112097","112097","20.210240564253056","20.210240564253056","20.210240564253056","112097","112097","112097","20.209815317006274","20.209815317006274","20.209815317006274","112097","112097","112097","20.196507691600775","20.196507691600775","20.196507691600775","112097","112097","112097","20.23542524497554","20.23542524497554","20.23542524497554","112097","112097","112097","20.233362249453045","20.233362249453045","20.233362249453045","112097","112097","112097","20.238909876278523","20.238909876278523","20.238909876278523","112097","112097","112097","20.20434875925261","20.20434875925261","20.20434875925261","112097","112097","112097","20.237058599794018","20.237058599794018","20.237058599794018","112097","112097","112097","20.206759945064256","20.206759945064256","20.206759945064256"
"15","120104","120104","120104","20.197584396727343","20.197584396727343","20.197584396727343","120104","120104","120104","20.2117854134171","20.2117854134171","20.2117854134171","120104","120104","120104","20.211813770054572","20.211813770054572","20.211813770054572","120104","120104","120104","20.198498486551205","20.198498486551205","20.198498486551205","120104","120104","120104","20.23546131452567","20.23546131452567","20.23546131452567","120104","120104","120104","20.234202886387887","20.234202886387887","20.234202886387887","120104","120104","120104","20.241218841032637","20.241218841032637","20.241218841032637","120104","120104","120104","20.20601200223984","20.20601200223984","20.20601200223984","120104","120104","120104","20.238121421454146","20.238121421454146","20.238121421454146","120104","120104","120104","20.20722539200746","20.20722539200746","20.20722539200746"
"16","128111","128111","128111","20.19463363204671","20.19463363204671","20.19463363204671","128111","128111","128111","20.21782807636637","20.21782807636637","20.21782807636637","128111","128111","128111","20.210344684115896","20.210344684115896","20.210344684115896","128111","128111","128111","20.198272067056223","20.198272067056223","20.198272067056223","128111","128111","128111","20.23268387020551","20.23268387020551","20.23268387020551","128111","128111","128111","20.231643339466256","20.231643339466256","20.231643339466256","128111","128111","128111","20.238332502118904","20.238332502118904","20.238332502118904","128111","128111","128111","20.20621141231042","20.20621141231042","20.20621141231042","128111","128111","128111","20.236348460997213","20.236348460997213","20.236348460997213","128111","128111","128111","20.204008585745505","20.204008585745505","20.204008585745505"
"17","136118","136118","136118","20.19321064298618","20.19321064298618","20.19321064298618","136118","136118","136118","20.20930092123289","20.20930092123289","20.20930092123289","136118","136118","136118","20.20923182977178","20.20923182977178","20.20923182977178","136118","136118","136118","20.197226496295258","20.197226496295258","20.197226496295258","136118","136118","136118","20.228432596025236","20.228432596025236","20.228432596025236","136118","136118","136118","20.23043074457968","20.23043074457968","20.23043074457968","136118","136118","136118","20.23817088712844","20.23817088712844","20.23817088712844","136118","136118","136118","20.2024315485605","20.2024315485605","20.2024315485605","136118","136118","136118","20.23486509391043","20.23486509391043","20.23486509391043","136118","136118","136118","20.203324711111993","20.203324711111993","20.203324711111993"
"18","144125","144125","144125","20.194123765290673","20.194123765290673","20.194123765290673","144125","144125","144125","20.217565392034015","20.217565392034015","20.217565392034015","144125","144125","144125","20.216555135187438","20.216555135187438","20.216555135187438","144125","144125","144125","20.19681899009426","20.19681899009426","20.19681899009426","144125","144125","144125","20.228691454293834","20.228691454293834","20.228691454293834","144125","144125","144125","20.231531925404607","20.231531925404607","20.231531925404607","144125","144125","144125","20.236603550123437","20.236603550123437","20.236603550123437","144125","144125","144125","20.205116269031876","20.205116269031876","20.205116269031876","144125","144125","144125","20.24447356553414","20.24447356553414","20.24447356553414","144125","144125","144125","20.206039312687786","20.206039312687786","20.206039312687786"
"19","152132","152132","152132","20.193201893217434","20.193201893217434","20.193201893217434","152132","152132","152132","20.209237580312355","20.209237580312355","20.209237580312355","152132","152132","152132","20.20918910224906","20.20918910224906","20.20918910224906","152132","152132","152132","20.197161086824437","20.197161086824437","20.197161086824437","152132","152132","152132","20.226802739831275","20.226802739831275","20.226802739831275","152132","152132","152132","20.23007272271378","20.23007272271378","20.23007272271378","152132","152132","152132","20.235610444605403","20.235610444605403","20.235610444605403","152132","152132","152132","20.201168902734004","20.201168902734004","20.201168902734004","152132","152132","152132","20.236226365348216","20.236226365348216","20.236226365348216","152132","152132","152132","20.203201913602594","20.203201913602594","20.203201913602594"
